%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234548536883928,405,1635234548536556581,pacmod,0,0,0,0,0,0,0,-0.279,0.0,-0.279
1635234548569192371,406,1635234548568783377,pacmod,0,0,0,0,0,0,0,-0.332,0.0,-0.332
1635234548611920975,407,1635234548602596721,pacmod,0,0,0,0,0,0,0,-0.367,0.0,-0.367
1635234548636413198,408,1635234548636040516,pacmod,0,0,0,0,0,0,0,-0.412,0.0,-0.412
1635234548669736015,409,1635234548669381343,pacmod,0,0,0,0,0,0,0,-0.452,0.0,-0.452
1635234548705023919,410,1635234548703089101,pacmod,0,0,0,0,0,0,0,-0.485,0.0,-0.485
1635234548736738512,411,1635234548736290111,pacmod,0,0,0,0,0,0,0,-0.504,0.0,-0.504
1635234548769961564,412,1635234548769668731,pacmod,0,0,0,0,0,0,0,-0.525,0.0,-0.525
1635234548810467546,413,1635234548805458750,pacmod,0,0,0,0,0,0,0,-0.539,0.0,-0.539
1635234548837391500,414,1635234548837057008,pacmod,0,0,0,0,0,0,0,-0.546,0.0,-0.546
1635234548870604445,415,1635234548870156721,pacmod,0,0,0,0,0,0,0,-0.55,0.0,-0.55
1635234548906201439,416,1635234548904144628,pacmod,0,0,0,0,0,0,0,-0.55,0.0,-0.55
1635234548937501574,417,1635234548937062640,pacmod,0,0,0,0,0,0,0,-0.55,0.0,-0.55
1635234548971366798,418,1635234548970620696,pacmod,0,0,0,0,0,0,0,-0.55,0.0,-0.55
1635234549006272436,419,1635234549005531150,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549039192692,420,1635234549038697741,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549071339310,421,1635234549070949000,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549114093441,422,1635234549104865630,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549138485530,423,1635234549138276457,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549171816697,424,1635234549171442419,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549206307274,425,1635234549206066190,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549239873034,426,1635234549239624140,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549272129406,427,1635234549271863171,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549306919266,428,1635234549306596892,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549340118695,429,1635234549339838371,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549372343058,430,1635234549372134457,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549407155756,431,1635234549406894346,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549440358547,432,1635234549440127557,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549472915942,433,1635234549472648459,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549506543313,434,1635234549506320631,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549540804438,435,1635234549540589847,pacmod,0,0,0,0,0,0,0,-0.552,0.0,-0.552
1635234549573092196,436,1635234549572851251,pacmod,0,0,0,0,0,0,0,-0.553,0.0,-0.553
1635234549606972796,437,1635234549606668325,pacmod,0,0,0,0,0,0,0,-0.559,0.0,-0.559
1635234549640623173,438,1635234549640389806,pacmod,0,0,0,0,0,0,0,-0.566,0.0,-0.566
1635234549681251227,439,1635234549673642468,pacmod,0,0,0,0,0,0,0,-0.574,0.0,-0.574
1635234549708637633,440,1635234549708393884,pacmod,0,0,0,0,0,0,0,-0.585,0.0,-0.585
1635234549740942083,441,1635234549740696203,pacmod,0,0,0,0,0,0,0,-0.59,0.0,-0.59
1635234549774511500,442,1635234549774192704,pacmod,0,0,0,0,0,0,0,-0.6,0.0,-0.6
1635234549809222660,443,1635234549808943177,pacmod,0,0,0,0,0,0,0,-0.609,0.0,-0.609
1635234549843256990,444,1635234549842305030,pacmod,0,0,0,0,0,0,0,-0.614,0.0,-0.614
1635234549875026225,445,1635234549874539100,pacmod,0,0,0,0,0,0,0,-0.618,0.0,-0.618
1635234549909982086,446,1635234549909467137,pacmod,0,0,0,0,0,0,0,-0.618,0.0,-0.618
1635234549943361773,447,1635234549943005404,pacmod,0,0,0,0,0,0,0,-0.618,0.0,-0.618
1635234549975508653,448,1635234549975102236,pacmod,0,0,0,0,0,0,0,-0.614,0.0,-0.614
1635234550018580638,449,1635234550010149734,pacmod,0,0,0,0,0,0,0,-0.609,0.0,-0.609
1635234550043822776,450,1635234550043370771,pacmod,0,0,0,0,0,0,0,-0.602,0.0,-0.602
1635234550076102888,451,1635234550075593868,pacmod,0,0,0,0,0,0,0,-0.588,0.0,-0.588
1635234550110746980,452,1635234550109673487,pacmod,0,0,0,0,0,0,0,-0.562,0.0,-0.562
1635234550144514486,453,1635234550144205802,pacmod,0,0,0,0,0,0,0,-0.545,0.0,-0.545
1635234550176378602,454,1635234550176025954,pacmod,0,0,0,0,0,0,0,-0.52,0.0,-0.52
1635234550220322867,455,1635234550210771620,pacmod,0,0,0,0,0,0,0,-0.503,0.0,-0.503
1635234550244652993,456,1635234550244272913,pacmod,0,0,0,0,0,0,0,-0.489,0.0,-0.489
1635234550276931147,457,1635234550276600723,pacmod,0,0,0,0,0,0,0,-0.483,0.0,-0.483
1635234550318962242,458,1635234550311511900,pacmod,0,0,0,0,0,0,0,-0.482,0.0,-0.482
1635234550345216179,459,1635234550344844913,pacmod,0,0,0,0,0,0,0,-0.482,0.0,-0.482
1635234550377764814,460,1635234550377139446,pacmod,0,0,0,0,0,0,0,-0.482,0.0,-0.482
1635234550414717445,461,1635234550410905472,pacmod,0,0,0,0,0,0,0,-0.482,0.0,-0.482
1635234550445409403,462,1635234550445112681,pacmod,0,0,0,0,0,0,0,-0.478,0.0,-0.478
1635234550477944249,463,1635234550477460879,pacmod,0,0,0,0,0,0,0,-0.468,0.0,-0.468
1635234550515447258,464,1635234550511468102,pacmod,0,0,0,0,0,0,0,-0.454,0.0,-0.454
1635234550546275556,465,1635234550545633469,pacmod,0,0,0,0,0,0,0,-0.44,0.0,-0.44
1635234550578394998,466,1635234550577890830,pacmod,0,0,0,0,0,0,0,-0.414,0.0,-0.414
1635234550616082287,467,1635234550612088987,pacmod,0,0,0,0,0,0,0,-0.384,0.0,-0.384
1635234550645161820,468,1635234550644797477,pacmod,0,0,0,0,0,0,0,-0.349,0.0,-0.349
1635234550678600322,469,1635234550678319649,pacmod,0,0,0,0,0,0,0,-0.328,0.0,-0.328
1635234550713072160,470,1635234550712844266,pacmod,0,0,0,0,0,0,0,-0.305,0.0,-0.305
1635234550745648989,471,1635234550745391276,pacmod,0,0,0,0,0,0,0,-0.286,0.0,-0.286
1635234550778951536,472,1635234550778636334,pacmod,0,0,0,0,0,0,0,-0.272,0.0,-0.272
1635234550812537589,473,1635234550812316980,pacmod,0,0,0,0,0,0,0,-0.267,0.0,-0.267
