%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234549240726677,426,1635234549240562357,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549272949851,427,1635234549272818526,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549307701830,428,1635234549307554089,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549341076012,429,1635234549340861256,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549373194830,430,1635234549373050911,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549408168015,431,1635234549408048165,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549441522009,432,1635234549441350659,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549473801883,433,1635234549473657687,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549507556630,434,1635234549507351330,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549541752138,435,1635234549541585656,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549574180047,436,1635234549574007040,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549607995773,437,1635234549607844558,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549641507631,438,1635234549641372233,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549681972422,439,1635234549674595346,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549709524132,440,1635234549709385680,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549741906114,441,1635234549741647338,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549775502576,442,1635234549775213786,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549810016031,443,1635234549809886939,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549844137438,444,1635234549843505318,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549876288309,445,1635234549876060611,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549910779775,446,1635234549910491588,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549944939356,447,1635234549944684399,pacmod,0,0,0,0,0,0,0,1,1,1
1635234549979717480,448,1635234549976321449,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550018628900,449,1635234550011123258,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550044662859,450,1635234550044418977,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550076776401,451,1635234550076539765,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550115193727,452,1635234550110708259,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550145136730,453,1635234550144932391,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550177649823,454,1635234550177457223,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550221913402,455,1635234550215520119,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550245534984,456,1635234550245298484,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550277750082,457,1635234550277565866,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550320162355,458,1635234550312669418,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550346017199,459,1635234550345812870,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550378510156,460,1635234550378267375,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550415942411,461,1635234550412054433,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550446404490,462,1635234550446230422,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550480202698,463,1635234550479511726,pacmod,0,0,0,0,0,0,0,1,1,1
1635234550515761563,464,1635234550512702395,pacmod,0,0,0,0,0,0,0,1,1,1
