%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vehicle_speed,field.vehicle_speed_valid
1635234550481448765,463,1635234550481109992,pacmod,3.31,1
1635234550517376891,464,1635234550514963620,pacmod,3.33,1
1635234550548874452,465,1635234550548608046,pacmod,3.38,1
1635234550583601003,466,1635234550582305358,pacmod,3.43,1
1635234550617407183,467,1635234550614648005,pacmod,3.44,1
1635234550648319130,468,1635234550648117238,pacmod,3.46,1
1635234550682099467,469,1635234550681786348,pacmod,3.5,1
1635234550716635775,470,1635234550716397648,pacmod,3.57,1
1635234550748891711,471,1635234550748622274,pacmod,3.59,1
1635234550782634432,472,1635234550782379882,pacmod,3.6,1
1635234550815761765,473,1635234550815557147,pacmod,3.67,1
1635234550850717604,474,1635234550850196084,pacmod,3.69,1
1635234550883081323,475,1635234550882892279,pacmod,3.72,1
1635234550917628571,476,1635234550917332435,pacmod,3.75,1
1635234550950926723,477,1635234550950696650,pacmod,3.8,1
1635234550983598722,478,1635234550983346569,pacmod,3.86,1
1635234551016915374,479,1635234551016656247,pacmod,3.87,1
1635234551050411527,480,1635234551050173207,pacmod,3.9,1
1635234551084183804,481,1635234551083916268,pacmod,3.95,1
1635234551117393261,482,1635234551117176823,pacmod,3.97,1
1635234551151651083,483,1635234551151431636,pacmod,4.02,1
1635234551184684098,484,1635234551184448177,pacmod,4.05,1
1635234551218667074,485,1635234551218477689,pacmod,4.09,1
1635234551252070823,486,1635234551251767919,pacmod,4.15,1
1635234551285127527,487,1635234551284868653,pacmod,4.14,1
1635234551318226664,488,1635234551318000102,pacmod,4.2,1
1635234551352412178,489,1635234551352203614,pacmod,4.26,1
1635234551385436862,490,1635234551385242020,pacmod,4.26,1
1635234551418385798,491,1635234551418209291,pacmod,4.31,1
1635234551453042820,492,1635234551452840779,pacmod,4.35,1
1635234551485794491,493,1635234551485591264,pacmod,4.34,1
1635234551519176552,494,1635234551518962723,pacmod,4.38,1
1635234551552312088,495,1635234551552067331,pacmod,4.43,1
1635234551586276481,496,1635234551586075632,pacmod,4.46,1
1635234551619642274,497,1635234551619369658,pacmod,4.5,1
1635234551653936654,498,1635234551653717406,pacmod,4.51,1
1635234551686990388,499,1635234551686644703,pacmod,4.57,1
1635234551721226435,500,1635234551720598693,pacmod,4.62,1
1635234551754293504,501,1635234551753964254,pacmod,4.6,1
1635234551787210842,502,1635234551786913299,pacmod,4.72,1
1635234551821158015,503,1635234551820192956,pacmod,4.7,1
1635234551855119034,504,1635234551854627448,pacmod,4.67,1
1635234551887743955,505,1635234551887454544,pacmod,4.77,1
1635234551920994901,506,1635234551920601943,pacmod,4.74,1
1635234551955201948,507,1635234551954916903,pacmod,4.78,1
1635234551988033469,508,1635234551987706116,pacmod,4.8,1
1635234552023051006,509,1635234552022126947,pacmod,4.79,1
1635234552055558460,510,1635234552055363216,pacmod,4.84,1
1635234552088418790,511,1635234552088174854,pacmod,4.87,1
1635234552122575660,512,1635234552122378098,pacmod,4.93,1
1635234552156369231,513,1635234552156047100,pacmod,4.88,1
1635234552188842818,514,1635234552188518794,pacmod,4.91,1
1635234552222527443,515,1635234552222198581,pacmod,4.99,1
1635234552256776898,516,1635234552256470200,pacmod,5.05,1
1635234552289205397,517,1635234552288945037,pacmod,5.01,1
1635234552324118825,518,1635234552323445554,pacmod,5.08,1
1635234552357118843,519,1635234552356805028,pacmod,5.08,1
1635234552389919579,520,1635234552389585739,pacmod,5.1,1
1635234552423292435,521,1635234552422831921,pacmod,5.11,1
1635234552457686952,522,1635234552457318224,pacmod,5.1,1
1635234552490232222,523,1635234552489984198,pacmod,5.12,1
1635234552524463651,524,1635234552523430759,pacmod,5.1,1
1635234552557990911,525,1635234552557739438,pacmod,5.13,1
1635234552590781885,526,1635234552590524463,pacmod,5.16,1
1635234552624277424,527,1635234552624015523,pacmod,5.17,1
1635234552658264781,528,1635234552657992804,pacmod,5.21,1
1635234552691618917,529,1635234552691084155,pacmod,5.23,1
1635234552725883553,530,1635234552725590505,pacmod,5.23,1
1635234552758746265,531,1635234552758500880,pacmod,5.23,1
1635234552792120572,532,1635234552791843707,pacmod,5.28,1
1635234552825029435,533,1635234552824722516,pacmod,5.32,1
1635234552858342560,534,1635234552858056885,pacmod,5.34,1
1635234552892497819,535,1635234552892095778,pacmod,5.34,1
1635234552926703021,536,1635234552926400531,pacmod,5.36,1
1635234552960070488,537,1635234552959765094,pacmod,5.36,1
1635234552992709631,538,1635234552992355647,pacmod,5.36,1
1635234553026149736,539,1635234553025717319,pacmod,5.43,1
1635234553060442024,540,1635234553060140888,pacmod,5.49,1
1635234553093244639,541,1635234553092899175,pacmod,5.37,1
1635234553127530649,542,1635234553127145019,pacmod,5.48,1
1635234553159714271,543,1635234553159438996,pacmod,5.49,1
1635234553193494201,544,1635234553193216922,pacmod,5.49,1
1635234553228006067,545,1635234553227682753,pacmod,5.56,1
1635234553261179822,546,1635234553260849694,pacmod,5.58,1
1635234553294039652,547,1635234553293688083,pacmod,5.64,1
1635234553328244462,548,1635234553327948817,pacmod,5.6,1
1635234553361711037,549,1635234553361419900,pacmod,5.63,1
1635234553394649279,550,1635234553394289566,pacmod,5.66,1
1635234553428998147,551,1635234553428709762,pacmod,5.7,1
1635234553461140356,552,1635234553460783439,pacmod,5.7,1
1635234553494962431,553,1635234553494566064,pacmod,5.75,1
1635234553528289278,554,1635234553527964130,pacmod,5.71,1
1635234553561560855,555,1635234553561229359,pacmod,5.74,1
1635234553595363447,556,1635234553594977317,pacmod,5.79,1
1635234553628743960,557,1635234553628478387,pacmod,5.78,1
1635234553663306931,558,1635234553662732130,pacmod,5.8,1
1635234553695871899,559,1635234553695612788,pacmod,5.74,1
1635234553730264882,560,1635234553729997284,pacmod,5.84,1
1635234553762940260,561,1635234553762348378,pacmod,5.77,1
1635234553796554075,562,1635234553796144243,pacmod,5.88,1
1635234553829807217,563,1635234553829541502,pacmod,5.84,1
1635234553863227839,564,1635234553862821565,pacmod,5.85,1
1635234553896644555,565,1635234553896332754,pacmod,5.92,1
1635234553930040304,566,1635234553929746672,pacmod,5.86,1
1635234553964265965,567,1635234553964026136,pacmod,5.93,1
1635234553997349133,568,1635234553996927033,pacmod,5.98,1
1635234554031482269,569,1635234554031061220,pacmod,5.95,1
1635234554063646503,570,1635234554063323150,pacmod,6.01,1
1635234554098008433,571,1635234554097649344,pacmod,6.01,1
1635234554132147028,572,1635234554131833733,pacmod,6.02,1
1635234554165374162,573,1635234554165030680,pacmod,6.09,1
1635234554198470139,574,1635234554198132150,pacmod,6.07,1
1635234554232594304,575,1635234554232296001,pacmod,6.08,1
1635234554266580281,576,1635234554266202843,pacmod,6.11,1
1635234554298646072,577,1635234554298413379,pacmod,6.13,1
1635234554333212014,578,1635234554332934184,pacmod,6.13,1
1635234554365381806,579,1635234554365043663,pacmod,6.14,1
1635234554399204672,580,1635234554398899647,pacmod,6.11,1
1635234554432578453,581,1635234554432325982,pacmod,6.13,1
1635234554465876588,582,1635234554465624115,pacmod,6.13,1
1635234554499793523,583,1635234554499476666,pacmod,6.13,1
1635234554533858294,584,1635234554533635777,pacmod,6.16,1
1635234554567538128,585,1635234554567194826,pacmod,6.16,1
1635234554600321019,586,1635234554599965776,pacmod,6.2,1
1635234554634581009,587,1635234554634286753,pacmod,6.25,1
1635234554667878465,588,1635234554667535660,pacmod,6.2,1
1635234554706637013,589,1635234554700175435,pacmod,6.3,1
1635234554735331483,590,1635234554734963074,pacmod,6.32,1
1635234554768406533,591,1635234554768020102,pacmod,6.29,1
1635234554810479687,592,1635234554806284979,pacmod,6.33,1
1635234554834293512,593,1635234554834000916,pacmod,6.39,1
1635234554868902996,594,1635234554868606867,pacmod,6.38,1
1635234554910531579,595,1635234554901387605,pacmod,6.37,1
1635234554935742715,596,1635234554935476912,pacmod,6.39,1
1635234554968882646,597,1635234554968665166,pacmod,6.42,1
1635234555002082428,598,1635234555001769298,pacmod,6.4,1
1635234555036307176,599,1635234555036019413,pacmod,6.4,1
1635234555069722184,600,1635234555069469437,pacmod,6.34,1
1635234555102744850,601,1635234555102328856,pacmod,6.32,1
1635234555136809553,602,1635234555136528094,pacmod,6.3,1
1635234555170124227,603,1635234555169743423,pacmod,6.33,1
1635234555203316077,604,1635234555202769304,pacmod,6.39,1
1635234555237381264,605,1635234555237063178,pacmod,6.38,1
1635234555270806162,606,1635234555270494035,pacmod,6.36,1
1635234555307280896,607,1635234555303150500,pacmod,6.48,1
1635234555336800348,608,1635234555336553157,pacmod,6.36,1
1635234555370144596,609,1635234555369856437,pacmod,6.47,1
1635234555404549613,610,1635234555403645232,pacmod,6.49,1
1635234555437566079,611,1635234555437322165,pacmod,6.47,1
1635234555470921593,612,1635234555470592170,pacmod,6.53,1
1635234555516294612,613,1635234555504424406,pacmod,6.53,1
1635234555539227917,614,1635234555538920684,pacmod,6.55,1
1635234555572027704,615,1635234555571795787,pacmod,6.56,1
1635234555614275804,616,1635234555604867652,pacmod,6.53,1
1635234555638267478,617,1635234555638024913,pacmod,6.58,1
1635234555672999437,618,1635234555672633144,pacmod,6.55,1
1635234555718448901,619,1635234555705444870,pacmod,6.59,1
1635234555739886548,620,1635234555739627011,pacmod,6.58,1
1635234555773302497,621,1635234555772993141,pacmod,6.54,1
1635234555805976015,622,1635234555805623967,pacmod,6.54,1
1635234555839177992,623,1635234555838926156,pacmod,6.53,1
1635234555872335918,624,1635234555872108253,pacmod,6.54,1
1635234555908787446,625,1635234555907514970,pacmod,6.55,1
